,iter,method,num_tweets_tested,num_tweets_predicted_right,real_acc,adj_acc
80,16,MultinomialNB CountVectorizer,41,2.0,0.04878048780487805,0.61
81,16,SGDClassifier,41,0.0,0.0,0.59
82,16,PassiveAggressiveClassifier: C = 0.01,41,0.0,0.0,0.59
83,16,MultinomialNB TfidfVectorizer,41,0.0,0.0,0.59
84,16,LinearSVC: C = 0,41,0.0,0.0,0.59
85,17,MultinomialNB CountVectorizer,31,1.0,0.03225806451612903,0.7
86,17,SGDClassifier,31,0.0,0.0,0.69
87,17,PassiveAggressiveClassifier: C = 0.01,31,0.0,0.0,0.69
88,17,MultinomialNB TfidfVectorizer,31,0.0,0.0,0.69
89,17,LinearSVC: C = 0,31,2.0,0.06451612903225806,0.71
90,18,MultinomialNB CountVectorizer,33,5.0,0.15151515151515152,0.72
91,18,SGDClassifier,33,3.0,0.09090909090909091,0.7
92,18,PassiveAggressiveClassifier: C = 0.01,33,3.0,0.09090909090909091,0.7
93,18,MultinomialNB TfidfVectorizer,33,0.0,0.0,0.67
94,18,LinearSVC: C = 0,33,3.0,0.09090909090909091,0.7
95,19,MultinomialNB CountVectorizer,38,0.0,0.0,0.62
96,19,SGDClassifier,38,0.0,0.0,0.62
97,19,PassiveAggressiveClassifier: C = 0.01,38,0.0,0.0,0.62
98,19,MultinomialNB TfidfVectorizer,38,0.0,0.0,0.62
99,19,LinearSVC: C = 0,38,0.0,0.0,0.62
100,20,MultinomialNB CountVectorizer,29,0.0,0.0,0.71
101,20,SGDClassifier,29,0.0,0.0,0.71
102,20,PassiveAggressiveClassifier: C = 0.01,29,0.0,0.0,0.71
103,20,MultinomialNB TfidfVectorizer,29,0.0,0.0,0.71
104,20,LinearSVC: C = 0,29,0.0,0.0,0.71
105,21,MultinomialNB CountVectorizer,31,2.0,0.06451612903225806,0.71
106,21,SGDClassifier,31,2.0,0.06451612903225806,0.71
107,21,PassiveAggressiveClassifier: C = 0.01,31,2.0,0.06451612903225806,0.71
108,21,MultinomialNB TfidfVectorizer,31,0.0,0.0,0.69
109,21,LinearSVC: C = 0,31,1.0,0.03225806451612903,0.7
110,22,MultinomialNB CountVectorizer,30,0.0,0.0,0.7
111,22,SGDClassifier,30,0.0,0.0,0.7
112,22,PassiveAggressiveClassifier: C = 0.01,30,0.0,0.0,0.7
113,22,MultinomialNB TfidfVectorizer,30,0.0,0.0,0.7
114,22,LinearSVC: C = 0,30,0.0,0.0,0.7
115,23,MultinomialNB CountVectorizer,32,2.0,0.0625,0.7
116,23,SGDClassifier,32,1.0,0.03125,0.69
117,23,PassiveAggressiveClassifier: C = 0.01,32,0.0,0.0,0.68
118,23,MultinomialNB TfidfVectorizer,32,0.0,0.0,0.68
119,23,LinearSVC: C = 0,32,1.0,0.03125,0.69
120,24,MultinomialNB CountVectorizer,34,1.0,0.029411764705882353,0.67
121,24,SGDClassifier,34,0.0,0.0,0.66
122,24,PassiveAggressiveClassifier: C = 0.01,34,0.0,0.0,0.66
123,24,MultinomialNB TfidfVectorizer,34,0.0,0.0,0.66
124,24,LinearSVC: C = 0,34,0.0,0.0,0.66
125,25,MultinomialNB CountVectorizer,17,2.0,0.11764705882352941,0.85
126,25,SGDClassifier,17,0.0,0.0,0.83
127,25,PassiveAggressiveClassifier: C = 0.01,17,0.0,0.0,0.83
128,25,MultinomialNB TfidfVectorizer,17,0.0,0.0,0.83
129,25,LinearSVC: C = 0,17,1.0,0.058823529411764705,0.84
130,26,MultinomialNB CountVectorizer,24,1.0,0.041666666666666664,0.77
131,26,SGDClassifier,24,1.0,0.041666666666666664,0.77
132,26,PassiveAggressiveClassifier: C = 0.01,24,0.0,0.0,0.76
133,26,MultinomialNB TfidfVectorizer,24,0.0,0.0,0.76
134,26,LinearSVC: C = 0,24,0.0,0.0,0.76
135,27,MultinomialNB CountVectorizer,28,0.0,0.0,0.72
136,27,SGDClassifier,28,0.0,0.0,0.72
137,27,PassiveAggressiveClassifier: C = 0.01,28,0.0,0.0,0.72
138,27,MultinomialNB TfidfVectorizer,28,0.0,0.0,0.72
139,27,LinearSVC: C = 0,28,0.0,0.0,0.72
140,28,MultinomialNB CountVectorizer,28,0.0,0.0,0.72
141,28,SGDClassifier,28,0.0,0.0,0.72
142,28,PassiveAggressiveClassifier: C = 0.01,28,0.0,0.0,0.72
143,28,MultinomialNB TfidfVectorizer,28,0.0,0.0,0.72
144,28,LinearSVC: C = 0,28,0.0,0.0,0.72
145,29,MultinomialNB CountVectorizer,39,1.0,0.02564102564102564,0.62
146,29,SGDClassifier,39,0.0,0.0,0.61
147,29,PassiveAggressiveClassifier: C = 0.01,39,0.0,0.0,0.61
148,29,MultinomialNB TfidfVectorizer,39,0.0,0.0,0.61
149,29,LinearSVC: C = 0,39,0.0,0.0,0.61
150,30,MultinomialNB CountVectorizer,45,2.0,0.044444444444444446,0.57
151,30,SGDClassifier,45,0.0,0.0,0.55
152,30,PassiveAggressiveClassifier: C = 0.01,45,0.0,0.0,0.55
153,30,MultinomialNB TfidfVectorizer,45,0.0,0.0,0.55
154,30,LinearSVC: C = 0,45,0.0,0.0,0.55
155,31,MultinomialNB CountVectorizer,49,0.0,0.0,0.51
156,31,SGDClassifier,49,0.0,0.0,0.51
157,31,PassiveAggressiveClassifier: C = 0.01,49,0.0,0.0,0.51
158,31,MultinomialNB TfidfVectorizer,49,0.0,0.0,0.51
159,31,LinearSVC: C = 0,49,0.0,0.0,0.51
160,32,MultinomialNB CountVectorizer,47,2.0,0.0425531914893617,0.55
161,32,SGDClassifier,47,0.0,0.0,0.53
162,32,PassiveAggressiveClassifier: C = 0.01,47,0.0,0.0,0.53
163,32,MultinomialNB TfidfVectorizer,47,0.0,0.0,0.53
164,32,LinearSVC: C = 0,47,0.0,0.0,0.53
165,33,MultinomialNB CountVectorizer,43,1.0,0.023255813953488372,0.58
166,33,SGDClassifier,43,0.0,0.0,0.57
167,33,PassiveAggressiveClassifier: C = 0.01,43,0.0,0.0,0.57
168,33,MultinomialNB TfidfVectorizer,43,0.0,0.0,0.57
169,33,LinearSVC: C = 0,43,1.0,0.023255813953488372,0.58
170,34,MultinomialNB CountVectorizer,56,3.0,0.05357142857142857,0.47
171,34,SGDClassifier,56,1.0,0.017857142857142856,0.45
172,34,PassiveAggressiveClassifier: C = 0.01,56,2.0,0.03571428571428571,0.46
173,34,MultinomialNB TfidfVectorizer,56,0.0,0.0,0.44
174,34,LinearSVC: C = 0,56,4.0,0.07142857142857142,0.48
175,35,MultinomialNB CountVectorizer,57,1.0,0.017543859649122806,0.44
176,35,SGDClassifier,57,0.0,0.0,0.43
177,35,PassiveAggressiveClassifier: C = 0.01,57,0.0,0.0,0.43
